total,state,zone,date,sales
total,State 1,Zone Q,2020-04-08,7218
total,State 1,Zone P,2022-12-19,7943
total,State 1,Zone P,2022-05-27,7884
total,State 1,Zone P,2023-06-17,6211
total,State 3,Zone R,2020-01-24,5582
total,State 3,Zone Q,2022-10-26,6342
total,State 2,Zone Q,2022-10-11,10788
total,State 3,Zone P,2022-01-06,7827
total,State 3,Zone P,2021-05-18,6520
total,State 3,Zone R,2021-08-21,5388
total,State 1,Zone P,2020-08-04,4392
total,State 2,Zone P,2020-04-21,9706
total,State 1,Zone Q,2021-08-22,4770
total,State 1,Zone P,2022-10-10,6011
total,State 3,Zone R,2023-10-23,3321
total,State 3,Zone P,2021-02-08,5294
total,State 1,Zone Q,2022-12-21,9712
total,State 1,Zone P,2022-09-16,5355
total,State 2,Zone P,2021-10-05,6949
total,State 1,Zone P,2020-12-25,8367
total,State 1,Zone Q,2023-01-17,10505
total,State 3,Zone P,2023-01-31,7635
total,State 1,Zone Q,2020-02-07,7056
total,State 3,Zone Q,2023-09-21,3831
total,State 3,Zone R,2023-11-14,6244
total,State 3,Zone P,2020-10-15,5617
total,State 2,Zone R,2021-10-24,7342
total,State 3,Zone P,2021-01-20,5750
total,State 2,Zone R,2023-05-13,11466
total,State 2,Zone R,2022-07-04,6563
total,State 2,Zone Q,2023-09-05,9714
total,State 2,Zone Q,2022-01-26,13111
total,State 1,Zone R,2020-12-16,10472
total,State 2,Zone P,2023-02-09,11665
total,State 1,Zone P,2021-08-05,3976
total,State 3,Zone P,2023-08-03,2540
total,State 3,Zone Q,2020-06-15,2400
total,State 3,Zone P,2020-07-14,2655
total,State 2,Zone R,2023-03-28,9136
total,State 1,Zone R,2022-10-25,4894
total,State 3,Zone P,2023-07-06,3597
total,State 3,Zone P,2023-04-14,3848
total,State 2,Zone Q,2020-05-16,10151
total,State 2,Zone Q,2023-01-09,10060
total,State 3,Zone Q,2022-02-28,4919
total,State 2,Zone P,2022-05-06,6816
total,State 2,Zone R,2023-02-28,8817
total,State 3,Zone R,2022-04-07,4132
total,State 3,Zone Q,2021-06-24,3442
total,State 3,Zone Q,2021-09-26,5877
total,State 3,Zone Q,2021-02-02,3477
total,State 3,Zone Q,2020-08-07,4212
total,State 2,Zone Q,2023-12-08,8520
total,State 1,Zone Q,2023-11-18,9054
total,State 3,Zone P,2022-06-28,2824
total,State 2,Zone Q,2020-08-12,5776
total,State 3,Zone R,2023-05-26,5080
total,State 1,Zone P,2023-04-04,8143
total,State 1,Zone R,2023-03-20,6015
total,State 2,Zone P,2020-10-14,7075
total,State 1,Zone R,2022-11-11,8248
total,State 2,Zone R,2022-11-28,7617
total,State 3,Zone P,2020-06-02,3580
total,State 1,Zone R,2022-10-09,8297
total,State 1,Zone P,2020-10-30,5404
total,State 2,Zone P,2020-07-12,7369
total,State 1,Zone P,2023-01-31,6232
total,State 2,Zone P,2022-07-11,5876
total,State 3,Zone P,2021-06-20,4576
total,State 1,Zone P,2023-11-09,8022
total,State 2,Zone P,2021-08-11,6600
total,State 3,Zone R,2021-10-10,6456
total,State 3,Zone Q,2020-10-18,5489
total,State 3,Zone Q,2021-07-17,4954
total,State 1,Zone Q,2023-01-10,7052
total,State 3,Zone R,2023-02-26,7260
total,State 1,Zone P,2022-10-17,5345
total,State 3,Zone R,2022-04-21,4952
total,State 2,Zone Q,2021-08-17,6453
total,State 1,Zone Q,2020-05-17,6665
total,State 1,Zone P,2020-05-16,8221
total,State 1,Zone P,2020-08-21,4441
total,State 3,Zone R,2022-08-25,4532
total,State 3,Zone Q,2022-06-22,2794
total,State 1,Zone P,2021-02-14,7256
total,State 3,Zone P,2023-10-03,6297
total,State 2,Zone Q,2020-12-24,10609
total,State 3,Zone P,2021-11-11,7366
total,State 1,Zone P,2023-08-12,6697
total,State 2,Zone P,2020-01-05,16444
total,State 3,Zone Q,2022-09-15,3494
total,State 2,Zone Q,2023-06-30,6922
total,State 1,Zone Q,2020-08-05,3137
total,State 3,Zone Q,2021-03-07,7805
total,State 2,Zone P,2023-07-19,6474
total,State 3,Zone P,2022-03-11,3637
total,State 3,Zone R,2023-06-26,3599
total,State 1,Zone P,2020-08-15,4987
total,State 1,Zone R,2021-12-08,9699
total,State 1,Zone Q,2021-01-12,8939
total,State 1,Zone R,2022-02-14,5824
total,State 2,Zone Q,2022-05-06,8489
total,State 3,Zone Q,2022-05-05,4496
total,State 2,Zone R,2023-10-22,10133
total,State 3,Zone Q,2022-04-02,4066
total,State 2,Zone R,2022-12-21,8079
total,State 2,Zone Q,2020-08-20,6803
total,State 2,Zone R,2022-11-04,9405
total,State 1,Zone Q,2020-01-08,6304
total,State 1,Zone R,2022-08-26,3584
total,State 2,Zone P,2022-02-23,9333
total,State 3,Zone Q,2021-09-17,3537
total,State 1,Zone Q,2021-08-08,5031
total,State 1,Zone P,2020-12-05,8997
total,State 2,Zone P,2023-12-13,11027
total,State 2,Zone Q,2023-06-08,7844
total,State 2,Zone R,2021-07-20,5806
total,State 3,Zone Q,2022-01-30,6459
total,State 2,Zone P,2022-03-15,9861
total,State 3,Zone R,2020-12-27,6103
total,State 1,Zone Q,2022-05-01,7426
total,State 1,Zone Q,2021-08-23,3485
total,State 3,Zone Q,2023-11-11,5305
total,State 3,Zone P,2022-10-13,5233
total,State 1,Zone Q,2021-04-05,4401
total,State 2,Zone Q,2023-05-13,10269
total,State 2,Zone Q,2020-02-16,12624
total,State 1,Zone P,2022-05-12,4287
total,State 2,Zone R,2020-08-28,6192
total,State 3,Zone R,2020-05-16,7374
total,State 3,Zone Q,2022-02-01,5910
total,State 2,Zone P,2020-05-11,8860
total,State 2,Zone Q,2022-01-30,10665
total,State 1,Zone R,2020-03-14,6622
total,State 1,Zone P,2023-05-16,7411
total,State 2,Zone P,2023-12-04,11718
total,State 1,Zone Q,2023-05-04,8079
total,State 1,Zone P,2023-07-13,4127
total,State 2,Zone P,2023-10-09,5929
total,State 1,Zone Q,2021-07-05,4071
total,State 1,Zone R,2023-04-05,5903
total,State 3,Zone R,2020-08-28,3376
total,State 1,Zone P,2022-11-04,5476
total,State 2,Zone Q,2022-10-10,6047
total,State 2,Zone Q,2020-07-04,9540
total,State 2,Zone Q,2020-08-14,6249
total,State 1,Zone Q,2023-01-29,8891
total,State 2,Zone R,2022-01-14,8985
total,State 2,Zone P,2020-06-13,6929
total,State 2,Zone R,2023-12-08,10081
total,State 3,Zone R,2023-01-30,4537
total,State 2,Zone Q,2022-03-29,7340
total,State 1,Zone R,2020-12-01,10298
total,State 3,Zone Q,2023-05-12,3617
total,State 1,Zone P,2021-07-22,5675
total,State 3,Zone P,2020-01-26,8077
total,State 1,Zone R,2023-10-28,7455
total,State 2,Zone Q,2023-09-22,8423
total,State 3,Zone P,2023-11-08,5636
total,State 1,Zone R,2021-11-15,4941
total,State 3,Zone P,2022-01-24,4870
total,State 1,Zone Q,2022-04-20,5390
total,State 2,Zone P,2022-02-07,8607
total,State 2,Zone R,2023-03-26,7899
total,State 1,Zone Q,2022-12-06,8856
total,State 3,Zone R,2022-01-21,4684
total,State 1,Zone Q,2022-03-06,5542
total,State 3,Zone R,2020-09-13,5738
total,State 2,Zone R,2021-02-17,6569
total,State 1,Zone Q,2021-02-06,7661
total,State 2,Zone R,2023-06-11,8786
total,State 1,Zone Q,2021-01-04,5166
total,State 2,Zone P,2020-10-10,11492
total,State 2,Zone R,2021-04-02,10183
total,State 3,Zone P,2022-08-13,3640
total,State 3,Zone Q,2021-01-30,6443
total,State 1,Zone Q,2022-01-24,4665
total,State 1,Zone Q,2021-11-29,7499
total,State 1,Zone Q,2020-05-03,6226
total,State 3,Zone R,2023-08-20,3239
total,State 2,Zone P,2021-11-27,12545
total,State 3,Zone R,2021-05-16,7618
total,State 2,Zone R,2020-01-28,8675
total,State 2,Zone R,2021-02-06,12587
total,State 2,Zone P,2020-10-20,6026
total,State 3,Zone P,2020-05-26,3530
total,State 3,Zone R,2020-03-21,6296
total,State 2,Zone Q,2020-01-22,8044
total,State 3,Zone R,2023-01-25,5871
total,State 1,Zone Q,2022-11-25,8600
total,State 3,Zone Q,2023-10-31,6215
total,State 1,Zone P,2020-12-20,12516
total,State 3,Zone Q,2021-05-14,5190
total,State 1,Zone Q,2021-05-07,6145
total,State 2,Zone Q,2021-04-01,7197
total,State 1,Zone R,2021-06-28,4324
total,State 1,Zone P,2021-03-06,7893
total,State 1,Zone P,2022-05-16,5898
total,State 1,Zone R,2020-08-02,6425
total,State 2,Zone Q,2021-11-25,9775
total,State 2,Zone Q,2021-11-18,13238
total,State 2,Zone P,2020-03-20,8583
total,State 2,Zone Q,2022-01-08,11993
total,State 2,Zone R,2023-08-10,8286
total,State 1,Zone P,2022-01-15,11782
total,State 2,Zone Q,2020-06-16,7493
total,State 3,Zone Q,2021-08-28,5130
total,State 3,Zone R,2021-02-15,3902
total,State 2,Zone R,2021-04-21,8868
total,State 1,Zone R,2021-06-20,4872
total,State 3,Zone Q,2020-09-23,6158
total,State 1,Zone P,2023-03-03,8001
total,State 3,Zone R,2022-08-16,3971
total,State 1,Zone Q,2022-11-23,8889
total,State 2,Zone P,2023-02-07,8460
total,State 2,Zone Q,2021-11-11,15191
total,State 3,Zone R,2020-10-09,3456
total,State 3,Zone Q,2023-06-03,3253
total,State 1,Zone Q,2020-07-10,4524
total,State 1,Zone Q,2022-04-17,8926
total,State 1,Zone P,2020-09-10,6076
total,State 2,Zone Q,2023-03-28,7895
total,State 3,Zone P,2023-12-22,7172
total,State 1,Zone Q,2023-09-30,5600
total,State 2,Zone P,2020-01-08,8031
total,State 3,Zone Q,2020-12-11,6532
total,State 2,Zone Q,2021-03-21,9867
total,State 1,Zone P,2021-03-28,6230
total,State 3,Zone R,2020-12-05,7923
total,State 2,Zone Q,2021-01-19,9742
total,State 1,Zone Q,2020-09-24,7890
total,State 1,Zone R,2021-10-26,6373
total,State 2,Zone Q,2020-12-12,12996
total,State 2,Zone Q,2022-06-05,7561
total,State 2,Zone R,2021-05-23,12004
total,State 3,Zone R,2022-10-23,6051
total,State 1,Zone R,2022-09-11,5047
total,State 3,Zone R,2021-01-31,5698
total,State 2,Zone P,2021-11-25,10504
total,State 1,Zone Q,2020-09-02,5869
total,State 2,Zone P,2021-11-14,16314
total,State 1,Zone P,2021-05-01,7135
total,State 3,Zone P,2023-12-10,8792
total,State 2,Zone P,2023-04-15,10506
total,State 3,Zone Q,2021-07-19,3121
total,State 1,Zone P,2021-07-24,4335
total,State 2,Zone Q,2020-06-19,7099
total,State 1,Zone P,2022-08-26,3338
total,State 3,Zone P,2023-05-23,4014
total,State 3,Zone R,2022-01-08,6112
total,State 3,Zone R,2021-07-22,3190
total,State 3,Zone P,2023-05-16,6464
total,State 1,Zone R,2021-04-03,7345
total,State 1,Zone Q,2021-10-27,6958
total,State 3,Zone R,2021-03-28,7204
total,State 3,Zone P,2023-02-21,6401
total,State 2,Zone Q,2020-01-02,13906
total,State 2,Zone R,2023-04-20,9460
total,State 2,Zone Q,2022-08-20,8570
total,State 3,Zone Q,2022-12-27,5501
total,State 3,Zone R,2022-05-14,7586
total,State 2,Zone R,2023-01-12,8611
total,State 2,Zone R,2023-11-06,7482
total,State 3,Zone R,2021-11-13,6200
total,State 3,Zone R,2020-08-17,3499
total,State 3,Zone Q,2022-01-16,9869
total,State 2,Zone Q,2020-05-12,6783
total,State 3,Zone Q,2022-04-20,3566
total,State 3,Zone P,2021-11-10,4976
total,State 2,Zone Q,2022-06-18,7950
total,State 3,Zone Q,2021-07-20,4000
total,State 3,Zone Q,2021-11-10,4876
total,State 2,Zone Q,2021-08-31,6712
total,State 3,Zone P,2023-09-17,6710
total,State 2,Zone R,2023-09-26,10229
total,State 3,Zone Q,2023-03-24,6188
total,State 2,Zone P,2023-05-20,9939
total,State 3,Zone P,2021-01-08,6479
total,State 3,Zone R,2021-03-21,4992
total,State 3,Zone R,2022-07-27,3929
total,State 2,Zone Q,2022-12-21,9039
total,State 1,Zone R,2023-07-20,4412
total,State 3,Zone Q,2020-11-09,5491
total,State 2,Zone Q,2022-12-23,8992
total,State 2,Zone P,2021-01-27,9537
total,State 3,Zone P,2020-06-10,2875
total,State 2,Zone P,2023-02-13,5898
total,State 2,Zone P,2020-06-22,3513
total,State 3,Zone R,2021-04-06,6497
total,State 3,Zone Q,2021-03-09,3574
total,State 3,Zone R,2020-09-25,4065
total,State 1,Zone P,2023-09-04,4913
total,State 1,Zone P,2023-12-21,5910
total,State 3,Zone R,2022-10-01,6932
total,State 3,Zone P,2021-06-12,4921
total,State 2,Zone P,2020-03-07,13906
total,State 2,Zone R,2022-01-02,15351
total,State 3,Zone Q,2023-06-27,4131
total,State 2,Zone Q,2021-06-01,4278
total,State 3,Zone R,2021-11-05,7335
total,State 3,Zone R,2022-12-21,5738
total,State 1,Zone Q,2020-09-21,5686
total,State 3,Zone P,2022-03-01,4740
total,State 3,Zone P,2023-02-17,3480
total,State 2,Zone R,2023-09-14,9279
total,State 2,Zone P,2022-10-09,8516
total,State 3,Zone Q,2022-08-21,4816
total,State 1,Zone R,2023-07-05,5772
total,State 2,Zone R,2021-01-16,17355
total,State 3,Zone Q,2023-05-09,5277
total,State 1,Zone R,2020-05-21,6224
total,State 2,Zone P,2023-10-19,11408
total,State 2,Zone R,2023-10-05,11521
total,State 2,Zone Q,2023-07-05,5033
total,State 3,Zone R,2022-11-30,5734
total,State 3,Zone R,2021-01-15,5136
total,State 2,Zone P,2022-09-27,8255
total,State 1,Zone P,2021-01-23,8660
total,State 2,Zone P,2022-10-02,9567
total,State 1,Zone P,2023-02-06,5559
total,State 3,Zone R,2020-10-25,4616
total,State 1,Zone Q,2021-08-24,5464
total,State 1,Zone R,2022-11-13,10036
total,State 3,Zone P,2020-11-17,4973
total,State 2,Zone Q,2022-04-13,9820
total,State 1,Zone R,2022-11-21,8140
total,State 1,Zone R,2021-08-29,4958
total,State 3,Zone P,2021-09-05,4301
total,State 2,Zone P,2022-05-28,11429
total,State 3,Zone R,2021-06-10,3822
total,State 2,Zone Q,2023-05-14,14108
total,State 3,Zone P,2023-08-30,2984
total,State 1,Zone P,2021-10-03,7789
total,State 2,Zone Q,2023-12-29,12298
total,State 3,Zone R,2023-09-08,5165
total,State 3,Zone P,2023-11-14,6424
total,State 2,Zone Q,2020-01-20,7934
total,State 3,Zone P,2023-06-16,3886
total,State 1,Zone Q,2020-02-12,7149
total,State 3,Zone P,2023-12-08,5626
total,State 1,Zone P,2021-09-07,6667
total,State 1,Zone P,2023-05-24,4797
total,State 2,Zone P,2023-12-10,14590
total,State 2,Zone Q,2023-07-10,5969
total,State 2,Zone Q,2020-06-01,3845
total,State 2,Zone R,2023-07-04,8260
total,State 1,Zone R,2020-04-02,7713
total,State 3,Zone P,2023-09-08,5999
total,State 3,Zone P,2023-04-05,3479
total,State 2,Zone Q,2023-09-24,12946
total,State 3,Zone R,2023-02-22,4107
total,State 2,Zone Q,2020-05-21,8271
total,State 2,Zone Q,2023-10-06,7587
total,State 1,Zone P,2023-02-27,3893
total,State 2,Zone P,2023-02-25,13123
total,State 3,Zone R,2020-01-27,6832
total,State 3,Zone Q,2022-06-15,4684
total,State 1,Zone R,2022-07-16,6936
total,State 1,Zone Q,2021-12-24,5707
total,State 1,Zone P,2022-09-03,9864
total,State 3,Zone Q,2021-08-20,4175
total,State 2,Zone Q,2022-05-21,11047
total,State 3,Zone Q,2022-05-22,5689
total,State 3,Zone R,2021-06-16,3698
total,State 2,Zone R,2021-03-20,10681
total,State 3,Zone P,2022-07-21,3574
total,State 1,Zone P,2021-08-21,4873
total,State 3,Zone Q,2021-05-21,3404
total,State 2,Zone R,2021-04-22,8986
total,State 3,Zone P,2022-03-24,4749
total,State 2,Zone P,2020-10-12,4865
total,State 3,Zone P,2020-08-24,2254
total,State 2,Zone R,2022-11-24,10097
total,State 3,Zone Q,2022-04-06,5329
total,State 2,Zone Q,2022-08-13,5939
total,State 3,Zone Q,2021-12-07,8300
total,State 1,Zone Q,2021-06-25,5071
total,State 1,Zone R,2023-09-14,5264
total,State 2,Zone P,2022-03-23,6875
total,State 3,Zone P,2023-05-06,6873
total,State 1,Zone R,2021-07-25,6778
total,State 1,Zone Q,2023-04-21,4979
total,State 3,Zone R,2020-02-29,6250
total,State 2,Zone P,2020-05-09,10121
total,State 3,Zone R,2020-12-13,5969
total,State 2,Zone R,2021-08-24,4758
total,State 3,Zone Q,2020-02-02,4754
total,State 3,Zone Q,2023-06-23,3291
total,State 3,Zone P,2023-03-26,5744
total,State 3,Zone R,2021-09-23,5901
total,State 3,Zone Q,2021-07-28,3665
total,State 3,Zone Q,2023-02-03,3625
total,State 3,Zone R,2022-12-25,6310
total,State 2,Zone R,2022-04-20,8259
total,State 2,Zone P,2023-11-14,12874
total,State 1,Zone P,2023-05-04,4297
total,State 1,Zone P,2022-11-23,10472
total,State 2,Zone P,2020-04-23,7716
total,State 3,Zone P,2022-04-24,4732
total,State 1,Zone Q,2021-10-12,4505
total,State 2,Zone Q,2023-01-19,8395
total,State 1,Zone Q,2023-05-08,6369
total,State 2,Zone Q,2023-01-13,8658
total,State 3,Zone R,2023-09-18,3162
total,State 1,Zone Q,2022-05-28,8994
total,State 1,Zone P,2021-03-19,4489
total,State 2,Zone P,2021-05-17,7675
total,State 2,Zone Q,2022-04-24,9694
total,State 3,Zone R,2022-01-15,6606
total,State 2,Zone R,2022-03-04,8594
total,State 3,Zone R,2020-01-30,7551
total,State 2,Zone Q,2021-04-11,8367
total,State 2,Zone Q,2022-01-23,16254
total,State 3,Zone R,2022-03-06,6282
total,State 3,Zone Q,2020-08-02,5210
total,State 1,Zone R,2023-12-28,8906
total,State 3,Zone R,2021-02-14,6167
total,State 2,Zone Q,2021-05-21,9992
total,State 3,Zone P,2023-09-23,5921
total,State 1,Zone Q,2021-04-03,6462
total,State 2,Zone Q,2021-06-04,6043
total,State 3,Zone Q,2020-08-08,5518
total,State 1,Zone P,2023-02-02,7926
total,State 2,Zone Q,2021-09-09,7164
total,State 2,Zone Q,2021-05-02,11474
total,State 2,Zone R,2022-08-15,5089
total,State 1,Zone P,2020-05-04,5743
total,State 2,Zone P,2021-01-22,9589
total,State 3,Zone R,2021-10-12,4647
total,State 1,Zone P,2022-11-11,8469
total,State 1,Zone Q,2020-09-20,6814
total,State 2,Zone P,2021-06-19,6609
total,State 1,Zone P,2020-03-28,6517
total,State 3,Zone R,2020-12-09,6217
total,State 1,Zone P,2022-05-13,8101
total,State 3,Zone Q,2021-01-22,7929
total,State 2,Zone P,2021-08-15,6011
total,State 1,Zone P,2023-06-23,3664
total,State 3,Zone R,2022-02-25,4441
total,State 1,Zone P,2023-01-21,10495
total,State 3,Zone Q,2022-06-04,5090
total,State 3,Zone R,2023-11-07,5492
total,State 3,Zone P,2021-04-07,3883
total,State 3,Zone R,2020-10-02,6508
total,State 3,Zone P,2022-02-28,3352
total,State 1,Zone Q,2020-10-18,5342
total,State 1,Zone R,2023-10-30,5874
total,State 1,Zone Q,2022-03-14,4223
total,State 3,Zone P,2023-01-13,7197
total,State 3,Zone P,2021-06-16,4527
total,State 1,Zone R,2020-06-30,4737
total,State 3,Zone R,2021-11-12,8573
total,State 2,Zone R,2021-11-26,9319
total,State 1,Zone R,2023-05-17,4553
total,State 3,Zone Q,2021-12-19,9336
total,State 2,Zone Q,2022-06-11,9375
total,State 2,Zone P,2023-04-12,10751
total,State 1,Zone P,2021-06-11,5792
total,State 1,Zone Q,2023-11-29,6486
total,State 1,Zone P,2023-09-22,7144
total,State 3,Zone Q,2020-11-19,5110
total,State 2,Zone P,2021-06-03,5316
total,State 2,Zone P,2021-01-16,13967
total,State 1,Zone Q,2022-12-02,8059
total,State 1,Zone R,2020-09-21,3414
total,State 2,Zone R,2023-05-29,8620
total,State 3,Zone Q,2023-01-05,5045
total,State 1,Zone P,2022-11-12,9390
total,State 2,Zone R,2022-05-26,7123
total,State 2,Zone Q,2022-07-22,8000
total,State 1,Zone Q,2020-05-16,9535
total,State 3,Zone R,2020-09-28,3830
total,State 1,Zone R,2021-08-16,3389
total,State 2,Zone R,2021-09-03,7883
total,State 2,Zone R,2020-08-31,6628
total,State 1,Zone R,2021-05-27,6923
total,State 3,Zone R,2023-10-13,4467
total,State 3,Zone Q,2021-04-01,5402
total,State 3,Zone P,2023-10-21,6707
total,State 1,Zone R,2021-09-02,5585
total,State 3,Zone Q,2020-04-09,4481
total,State 1,Zone P,2020-11-16,7282
total,State 3,Zone Q,2021-02-26,6521
total,State 1,Zone P,2023-03-13,5913
total,State 2,Zone Q,2023-04-25,6551
total,State 1,Zone Q,2021-08-15,5916
total,State 3,Zone P,2023-07-13,2790
total,State 3,Zone P,2021-11-22,3982
total,State 2,Zone R,2023-01-14,14317
total,State 1,Zone R,2020-08-19,4455
total,State 2,Zone P,2023-05-19,6385
total,State 2,Zone Q,2020-07-15,6268
total,State 1,Zone R,2020-02-24,4539
total,State 3,Zone R,2020-12-07,4831
total,State 1,Zone Q,2022-12-12,4469
total,State 3,Zone P,2022-07-03,3249
total,State 3,Zone R,2023-08-01,3115
total,State 1,Zone R,2023-06-12,3895
total,State 1,Zone Q,2020-03-22,9159
total,State 2,Zone P,2020-12-11,11935
total,State 2,Zone Q,2022-09-06,10054
total,State 1,Zone Q,2021-01-06,9765
total,State 3,Zone P,2022-05-13,4291
total,State 2,Zone R,2021-09-21,8449
total,State 3,Zone R,2023-03-18,6732
total,State 3,Zone R,2022-08-30,3612
total,State 1,Zone Q,2021-03-07,6653
total,State 1,Zone R,2022-10-14,6970
total,State 2,Zone R,2022-04-01,9776
total,State 3,Zone P,2022-01-11,4497
total,State 2,Zone R,2020-12-29,10054
total,State 2,Zone P,2023-05-17,8930
total,State 2,Zone Q,2020-02-29,8426
total,State 1,Zone R,2022-05-18,6440
total,State 2,Zone R,2022-09-14,8396
total,State 1,Zone Q,2021-03-05,6381
total,State 3,Zone R,2022-05-26,6386
total,State 2,Zone Q,2021-06-12,7334
total,State 1,Zone R,2020-04-03,6678
total,State 3,Zone R,2020-12-25,5497
total,State 2,Zone R,2020-09-01,7421
total,State 1,Zone Q,2021-02-27,7334
total,State 2,Zone P,2022-01-30,9643
total,State 3,Zone P,2021-02-07,4710
total,State 3,Zone Q,2023-08-25,2742
total,State 1,Zone Q,2023-10-28,6115
total,State 1,Zone P,2022-10-22,9879
total,State 3,Zone Q,2023-05-05,5479
total,State 3,Zone Q,2021-09-08,4091
total,State 1,Zone Q,2023-03-22,7131
total,State 2,Zone Q,2021-08-13,4639
total,State 3,Zone Q,2020-07-04,3621
total,State 2,Zone Q,2023-01-20,14319
total,State 1,Zone R,2022-07-06,3790
total,State 2,Zone R,2020-01-19,10303
total,State 2,Zone Q,2023-02-12,11561
total,State 1,Zone P,2021-05-28,4189
total,State 3,Zone P,2022-09-01,4959
total,State 2,Zone R,2023-11-07,9818
total,State 1,Zone Q,2023-06-07,3463
total,State 2,Zone R,2022-11-16,12110
total,State 1,Zone R,2021-03-12,6417
total,State 3,Zone P,2023-05-17,5799
total,State 2,Zone R,2023-10-28,11615
total,State 2,Zone Q,2021-04-10,9368
total,State 3,Zone R,2022-07-23,4789
total,State 3,Zone Q,2020-01-10,6183
total,State 2,Zone P,2020-12-27,14294
total,State 1,Zone R,2020-01-10,6182
total,State 3,Zone R,2020-10-24,4757
total,State 3,Zone P,2022-12-15,6051
total,State 1,Zone R,2021-05-18,7633
total,State 2,Zone Q,2023-05-20,12718
total,State 3,Zone Q,2023-07-13,3687
total,State 1,Zone Q,2020-01-14,7341
