Unnamed: 0,index,total,state,zone,ds,y,holiday
7534,7534,total,State 1,Zone Q,2020-01-11,12096,0.0
7387,7387,total,State 3,Zone Q,2020-01-11,6525,0.0
1185,1185,total,State 2,Zone R,2020-01-11,9541,0.0
10763,10763,total,State 1,Zone P,2020-01-11,12088,0.0
4319,4319,total,State 2,Zone P,2020-01-11,16720,0.0
8058,8058,total,State 3,Zone R,2020-01-11,6755,0.0
3022,3022,total,State 3,Zone P,2020-01-11,7419,0.0
12932,12932,total,State 2,Zone Q,2020-01-11,15010,0.0
6675,6675,total,State 3,Zone Q,2020-01-12,7330,0.0
8400,8400,total,State 1,Zone Q,2020-01-12,10799,0.0
2392,2392,total,State 1,Zone R,2020-01-12,8033,0.0
3768,3768,total,State 3,Zone R,2020-01-12,7906,0.0
7158,7158,total,State 2,Zone P,2020-01-12,12534,0.0
5761,5761,total,State 2,Zone Q,2020-01-12,11617,0.0
4427,4427,total,State 2,Zone R,2020-01-12,16998,0.0
2257,2257,total,State 3,Zone P,2020-01-12,8451,0.0
3392,3392,total,State 1,Zone P,2020-01-12,10118,0.0
5276,5276,total,State 2,Zone R,2020-01-13,7251,1.0
6433,6433,total,State 1,Zone R,2020-01-13,6905,1.0
12904,12904,total,State 3,Zone Q,2020-01-13,4326,1.0
7626,7626,total,State 2,Zone P,2020-01-13,8632,1.0
6579,6579,total,State 3,Zone P,2020-01-13,4244,1.0
9229,9229,total,State 1,Zone P,2020-01-13,4825,1.0
8149,8149,total,State 1,Zone Q,2020-01-13,7252,1.0
11302,11302,total,State 2,Zone Q,2020-01-13,9967,1.0
6426,6426,total,State 3,Zone R,2020-01-13,5025,1.0
11108,11108,total,State 1,Zone P,2020-01-14,9608,0.0
6337,6337,total,State 2,Zone Q,2020-01-14,10071,0.0
8822,8822,total,State 3,Zone Q,2020-01-14,7065,0.0
10099,10099,total,State 2,Zone R,2020-01-14,9224,0.0
8643,8643,total,State 1,Zone R,2020-01-14,7007,0.0
7492,7492,total,State 3,Zone P,2020-01-14,4396,0.0
653,653,total,State 1,Zone Q,2020-01-14,7341,0.0
11253,11253,total,State 2,Zone P,2020-01-14,10283,0.0
2065,2065,total,State 3,Zone R,2020-01-14,5827,0.0
10940,10940,total,State 3,Zone P,2020-01-15,5822,0.0
7434,7434,total,State 2,Zone Q,2020-01-15,10129,0.0
11738,11738,total,State 1,Zone R,2020-01-15,6402,0.0
7308,7308,total,State 3,Zone R,2020-01-15,6013,0.0
5544,5544,total,State 1,Zone P,2020-01-15,8970,0.0
724,724,total,State 2,Zone R,2020-01-15,11719,0.0
1585,1585,total,State 2,Zone P,2020-01-15,11385,0.0
9339,9339,total,State 1,Zone Q,2020-01-15,9833,0.0
12414,12414,total,State 3,Zone Q,2020-01-15,7732,0.0
693,693,total,State 3,Zone P,2020-01-16,8158,0.0
5925,5925,total,State 1,Zone Q,2020-01-16,5689,0.0
9364,9364,total,State 2,Zone R,2020-01-16,12209,0.0
11350,11350,total,State 3,Zone Q,2020-01-16,5459,0.0
13134,13134,total,State 1,Zone R,2020-01-16,6321,0.0
12845,12845,total,State 3,Zone R,2020-01-16,7772,0.0
11456,11456,total,State 1,Zone P,2020-01-16,9004,0.0
3199,3199,total,State 2,Zone Q,2020-01-16,15048,0.0
1486,1486,total,State 2,Zone P,2020-01-16,9288,0.0
8653,8653,total,State 2,Zone P,2020-01-17,12942,0.0
8339,8339,total,State 1,Zone P,2020-01-17,7951,0.0
5742,5742,total,State 3,Zone P,2020-01-17,8193,0.0
5609,5609,total,State 1,Zone Q,2020-01-17,10551,0.0
6612,6612,total,State 2,Zone Q,2020-01-17,15095,0.0
7226,7226,total,State 1,Zone R,2020-01-17,5669,0.0
4234,4234,total,State 2,Zone R,2020-01-17,12426,0.0
3544,3544,total,State 3,Zone R,2020-01-17,7830,0.0
11640,11640,total,State 3,Zone Q,2020-01-17,6264,0.0
9265,9265,total,State 2,Zone P,2020-01-18,17688,0.0
2867,2867,total,State 1,Zone Q,2020-01-18,6901,0.0
1343,1343,total,State 1,Zone R,2020-01-18,8660,0.0
2203,2203,total,State 2,Zone R,2020-01-18,16224,0.0
1845,1845,total,State 3,Zone P,2020-01-18,5184,0.0
5036,5036,total,State 3,Zone Q,2020-01-18,7491,0.0
2962,2962,total,State 3,Zone R,2020-01-18,6106,0.0
10459,10459,total,State 1,Zone P,2020-01-18,12320,0.0
3679,3679,total,State 2,Zone Q,2020-01-18,15545,0.0
8191,8191,total,State 2,Zone P,2020-01-19,15681,0.0
5104,5104,total,State 2,Zone Q,2020-01-19,10749,0.0
2879,2879,total,State 3,Zone P,2020-01-19,9802,0.0
633,633,total,State 2,Zone R,2020-01-19,10303,0.0
7273,7273,total,State 3,Zone R,2020-01-19,5247,0.0
2690,2690,total,State 1,Zone R,2020-01-19,12705,0.0
8863,8863,total,State 1,Zone P,2020-01-19,11581,0.0
10944,10944,total,State 3,Zone Q,2020-01-19,8963,0.0
1385,1385,total,State 1,Zone Q,2020-01-19,8149,0.0
435,435,total,State 2,Zone Q,2020-01-20,7934,1.0
8791,8791,total,State 1,Zone Q,2020-01-20,4379,1.0
9342,9342,total,State 1,Zone P,2020-01-20,8234,1.0
9286,9286,total,State 3,Zone R,2020-01-20,4210,1.0
12028,12028,total,State 3,Zone Q,2020-01-20,6156,1.0
6398,6398,total,State 1,Zone R,2020-01-20,5302,1.0
5150,5150,total,State 3,Zone P,2020-01-20,5857,1.0
5586,5586,total,State 2,Zone R,2020-01-20,6357,1.0
7105,7105,total,State 2,Zone P,2020-01-20,11676,1.0
12978,12978,total,State 1,Zone R,2020-01-21,8773,0.0
1367,1367,total,State 2,Zone Q,2020-01-21,13575,0.0
5936,5936,total,State 2,Zone R,2020-01-21,8075,0.0
10638,10638,total,State 3,Zone P,2020-01-21,8341,0.0
11132,11132,total,State 1,Zone Q,2020-01-21,9793,0.0
11831,11831,total,State 2,Zone P,2020-01-21,12982,0.0
10993,10993,total,State 3,Zone Q,2020-01-21,5731,0.0
12537,12537,total,State 3,Zone R,2020-01-21,7390,0.0
11927,11927,total,State 1,Zone P,2020-01-21,7214,0.0
831,831,total,State 2,Zone R,2020-01-22,14853,0.0
11012,11012,total,State 3,Zone P,2020-01-22,8048,0.0
286,286,total,State 2,Zone Q,2020-01-22,8044,0.0
5074,5074,total,State 2,Zone P,2020-01-22,14128,0.0
7673,7673,total,State 1,Zone R,2020-01-22,8982,0.0
6047,6047,total,State 3,Zone Q,2020-01-22,4933,0.0
8116,8116,total,State 3,Zone R,2020-01-22,7109,0.0
7902,7902,total,State 1,Zone P,2020-01-22,7112,0.0
4654,4654,total,State 1,Zone Q,2020-01-22,7153,0.0
8603,8603,total,State 1,Zone P,2020-01-23,6299,0.0
3936,3936,total,State 3,Zone Q,2020-01-23,5698,0.0
1303,1303,total,State 1,Zone Q,2020-01-23,5460,0.0
12667,12667,total,State 1,Zone R,2020-01-23,8917,0.0
9221,9221,total,State 2,Zone P,2020-01-23,12689,0.0
1578,1578,total,State 2,Zone R,2020-01-23,14830,0.0
7960,7960,total,State 3,Zone P,2020-01-23,6570,0.0
1515,1515,total,State 3,Zone R,2020-01-23,8032,0.0
3736,3736,total,State 2,Zone Q,2020-01-23,9283,0.0
1299,1299,total,State 3,Zone P,2020-01-24,6549,0.0
10202,10202,total,State 3,Zone Q,2020-01-24,5158,0.0
1281,1281,total,State 2,Zone Q,2020-01-24,10512,0.0
1455,1455,total,State 2,Zone R,2020-01-24,14032,0.0
9671,9671,total,State 1,Zone Q,2020-01-24,6143,0.0
11934,11934,total,State 1,Zone R,2020-01-24,9005,0.0
103,103,total,State 3,Zone R,2020-01-24,5582,0.0
9583,9583,total,State 2,Zone P,2020-01-24,8433,0.0
12033,12033,total,State 1,Zone P,2020-01-24,8644,0.0
11760,11760,total,State 2,Zone R,2020-01-25,17575,0.0
7142,7142,total,State 2,Zone Q,2020-01-25,15515,0.0
8607,8607,total,State 2,Zone P,2020-01-25,12956,0.0
7797,7797,total,State 3,Zone R,2020-01-25,7833,0.0
7370,7370,total,State 1,Zone P,2020-01-25,11584,0.0
4647,4647,total,State 3,Zone P,2020-01-25,5548,0.0
2333,2333,total,State 1,Zone Q,2020-01-25,12252,0.0
7060,7060,total,State 1,Zone R,2020-01-25,7216,0.0
12207,12207,total,State 3,Zone Q,2020-01-25,6064,0.0
11287,11287,total,State 2,Zone P,2020-01-26,11047,0.0
5510,5510,total,State 1,Zone P,2020-01-26,11192,0.0
2642,2642,total,State 2,Zone Q,2020-01-26,10221,0.0
12294,12294,total,State 2,Zone R,2020-01-26,14718,0.0
254,254,total,State 3,Zone P,2020-01-26,8077,0.0
8297,8297,total,State 3,Zone Q,2020-01-26,9329,0.0
3614,3614,total,State 1,Zone Q,2020-01-26,11132,0.0
11835,11835,total,State 1,Zone R,2020-01-26,12690,0.0
6015,6015,total,State 3,Zone R,2020-01-26,5849,0.0
7735,7735,total,State 2,Zone Q,2020-01-27,8004,1.0
10693,10693,total,State 1,Zone P,2020-01-27,7060,1.0
454,454,total,State 3,Zone R,2020-01-27,6832,1.0
5321,5321,total,State 3,Zone Q,2020-01-27,5823,1.0
12957,12957,total,State 3,Zone P,2020-01-27,6443,1.0
8988,8988,total,State 2,Zone R,2020-01-27,11779,1.0
3578,3578,total,State 1,Zone Q,2020-01-27,4724,1.0
4095,4095,total,State 1,Zone R,2020-01-27,5496,1.0
11959,11959,total,State 2,Zone P,2020-01-27,10299,1.0
4659,4659,total,State 3,Zone P,2020-01-28,5373,0.0
1255,1255,total,State 1,Zone Q,2020-01-28,7729,0.0
10484,10484,total,State 3,Zone Q,2020-01-28,4620,0.0
811,811,total,State 2,Zone P,2020-01-28,11836,0.0
11952,11952,total,State 1,Zone R,2020-01-28,8858,0.0
281,281,total,State 2,Zone R,2020-01-28,8675,0.0
7102,7102,total,State 1,Zone P,2020-01-28,6728,0.0
3411,3411,total,State 3,Zone R,2020-01-28,8510,0.0
7195,7195,total,State 2,Zone Q,2020-01-28,8208,0.0
8511,8511,total,State 1,Zone Q,2020-01-29,6338,0.0
734,734,total,State 2,Zone R,2020-01-29,14354,0.0
6217,6217,total,State 1,Zone P,2020-01-29,6434,0.0
4497,4497,total,State 2,Zone Q,2020-01-29,9575,0.0
2676,2676,total,State 3,Zone P,2020-01-29,6519,0.0
9237,9237,total,State 3,Zone Q,2020-01-29,7264,0.0
7268,7268,total,State 1,Zone R,2020-01-29,7534,0.0
6564,6564,total,State 2,Zone P,2020-01-29,14108,0.0
23,23,total,State 3,Zone R,2020-01-29,7025,0.0
4157,4157,total,State 3,Zone P,2020-01-30,7768,0.0
509,509,total,State 3,Zone R,2020-01-30,7551,0.0
5947,5947,total,State 2,Zone Q,2020-01-30,7846,0.0
11114,11114,total,State 1,Zone P,2020-01-30,8365,0.0
11888,11888,total,State 3,Zone Q,2020-01-30,6557,0.0
11583,11583,total,State 1,Zone Q,2020-01-30,9217,0.0
12767,12767,total,State 1,Zone R,2020-01-30,9927,0.0
5565,5565,total,State 2,Zone P,2020-01-30,8379,0.0
12375,12375,total,State 2,Zone R,2020-01-30,13644,0.0
8969,8969,total,State 3,Zone Q,2020-01-31,5856,0.0
1353,1353,total,State 2,Zone Q,2020-01-31,13385,0.0
3588,3588,total,State 3,Zone R,2020-01-31,7750,0.0
4595,4595,total,State 2,Zone P,2020-01-31,8982,0.0
3019,3019,total,State 1,Zone Q,2020-01-31,8757,0.0
6938,6938,total,State 1,Zone P,2020-01-31,6062,0.0
40,40,total,State 2,Zone R,2020-01-31,11859,0.0
4880,4880,total,State 1,Zone R,2020-01-31,9990,0.0
79,79,total,State 3,Zone P,2020-01-31,4956,0.0
4006,4006,total,State 2,Zone P,2020-02-01,8772,0.0
5120,5120,total,State 2,Zone Q,2020-02-01,10473,0.0
11786,11786,total,State 3,Zone Q,2020-02-01,4008,0.0
9095,9095,total,State 1,Zone P,2020-02-01,8463,0.0
11047,11047,total,State 3,Zone R,2020-02-01,4791,0.0
12379,12379,total,State 1,Zone R,2020-02-01,8510,0.0
3326,3326,total,State 3,Zone P,2020-02-01,4120,0.0
8277,8277,total,State 2,Zone R,2020-02-01,8871,0.0
8599,8599,total,State 1,Zone Q,2020-02-01,7540,0.0
13056,13056,total,State 2,Zone R,2020-02-02,13410,0.0
10609,10609,total,State 1,Zone R,2020-02-02,9190,0.0
4667,4667,total,State 1,Zone P,2020-02-02,8232,0.0
4705,4705,total,State 2,Zone P,2020-02-02,9120,0.0
9941,9941,total,State 3,Zone P,2020-02-02,5418,0.0
10425,10425,total,State 3,Zone R,2020-02-02,4331,0.0
8103,8103,total,State 2,Zone Q,2020-02-02,7903,0.0
10238,10238,total,State 1,Zone Q,2020-02-02,5502,0.0
485,485,total,State 3,Zone Q,2020-02-02,4754,0.0
7563,7563,total,State 3,Zone P,2020-02-03,3450,1.0
1450,1450,total,State 3,Zone R,2020-02-03,3703,1.0
12686,12686,total,State 2,Zone P,2020-02-03,8261,1.0
1737,1737,total,State 1,Zone Q,2020-02-03,6351,1.0
5148,5148,total,State 2,Zone R,2020-02-03,7242,1.0
2242,2242,total,State 2,Zone Q,2020-02-03,6505,1.0
12551,12551,total,State 3,Zone Q,2020-02-03,4944,1.0
3830,3830,total,State 1,Zone R,2020-02-03,6067,1.0
721,721,total,State 1,Zone P,2020-02-03,5416,1.0
1531,1531,total,State 2,Zone R,2020-02-04,7526,0.0
4253,4253,total,State 2,Zone Q,2020-02-04,7253,0.0
7456,7456,total,State 1,Zone Q,2020-02-04,7172,0.0
4462,4462,total,State 3,Zone R,2020-02-04,3530,0.0
3317,3317,total,State 2,Zone P,2020-02-04,9337,0.0
3464,3464,total,State 1,Zone P,2020-02-04,6476,0.0
10199,10199,total,State 3,Zone Q,2020-02-04,4420,0.0
5174,5174,total,State 1,Zone R,2020-02-04,8050,0.0
3665,3665,total,State 3,Zone P,2020-02-04,5092,0.0
6523,6523,total,State 3,Zone R,2020-02-05,6314,0.0
11834,11834,total,State 2,Zone P,2020-02-05,6742,0.0
12907,12907,total,State 3,Zone P,2020-02-05,3373,0.0
10291,10291,total,State 1,Zone P,2020-02-05,6827,0.0
2026,2026,total,State 2,Zone R,2020-02-05,6757,0.0
7630,7630,total,State 1,Zone Q,2020-02-05,6451,0.0
11768,11768,total,State 3,Zone Q,2020-02-05,5806,0.0
8604,8604,total,State 2,Zone Q,2020-02-05,10024,0.0
97,97,total,State 1,Zone R,2020-02-05,5003,0.0
12307,12307,total,State 2,Zone R,2020-02-06,5928,0.0
4604,4604,total,State 3,Zone R,2020-02-06,6247,0.0
10919,10919,total,State 1,Zone P,2020-02-06,6878,0.0
8160,8160,total,State 3,Zone P,2020-02-06,4229,0.0
3004,3004,total,State 2,Zone P,2020-02-06,6587,0.0
7589,7589,total,State 1,Zone R,2020-02-06,7830,0.0
4627,4627,total,State 3,Zone Q,2020-02-06,5594,0.0
2924,2924,total,State 2,Zone Q,2020-02-06,10037,0.0
5749,5749,total,State 1,Zone Q,2020-02-06,6172,0.0
988,988,total,State 2,Zone Q,2020-02-07,9481,0.0
9519,9519,total,State 1,Zone R,2020-02-07,5866,0.0
4113,4113,total,State 3,Zone Q,2020-02-07,5848,0.0
9994,9994,total,State 1,Zone P,2020-02-07,4639,0.0
8399,8399,total,State 2,Zone R,2020-02-07,11507,0.0
9769,9769,total,State 2,Zone P,2020-02-07,10555,0.0
121,121,total,State 1,Zone Q,2020-02-07,7056,0.0
5895,5895,total,State 3,Zone P,2020-02-07,4626,0.0
11057,11057,total,State 3,Zone R,2020-02-07,4188,0.0
5290,5290,total,State 3,Zone R,2020-02-08,6653,0.0
11604,11604,total,State 3,Zone P,2020-02-08,6040,0.0
10658,10658,total,State 3,Zone Q,2020-02-08,4779,0.0
7259,7259,total,State 2,Zone R,2020-02-08,13949,0.0
8529,8529,total,State 1,Zone Q,2020-02-08,6574,0.0
10654,10654,total,State 2,Zone P,2020-02-08,9557,0.0
11369,11369,total,State 1,Zone P,2020-02-08,7152,0.0
7110,7110,total,State 2,Zone Q,2020-02-08,11967,0.0
7812,7812,total,State 1,Zone R,2020-02-08,5455,0.0
12579,12579,total,State 2,Zone R,2020-02-09,8921,0.0
3325,3325,total,State 3,Zone Q,2020-02-09,6301,0.0
12016,12016,total,State 1,Zone R,2020-02-09,9276,0.0
5173,5173,total,State 3,Zone R,2020-02-09,7735,0.0
1058,1058,total,State 3,Zone P,2020-02-09,4478,0.0
8457,8457,total,State 1,Zone P,2020-02-09,7854,0.0
8751,8751,total,State 1,Zone Q,2020-02-09,7894,0.0
8097,8097,total,State 2,Zone P,2020-02-09,12015,0.0
4635,4635,total,State 2,Zone Q,2020-02-09,11528,0.0
12619,12619,total,State 3,Zone R,2020-02-10,3603,1.0
10640,10640,total,State 2,Zone R,2020-02-10,5194,1.0
10510,10510,total,State 3,Zone Q,2020-02-10,4433,1.0
13132,13132,total,State 3,Zone P,2020-02-10,4767,1.0
1035,1035,total,State 2,Zone Q,2020-02-10,6747,1.0
3058,3058,total,State 1,Zone R,2020-02-10,6370,1.0
11448,11448,total,State 2,Zone P,2020-02-10,7872,1.0
2724,2724,total,State 1,Zone Q,2020-02-10,4199,1.0
3354,3354,total,State 1,Zone P,2020-02-10,3575,1.0
3537,3537,total,State 1,Zone P,2020-02-11,5958,0.0
6768,6768,total,State 2,Zone P,2020-02-11,10355,0.0
3735,3735,total,State 3,Zone R,2020-02-11,6223,0.0
9360,9360,total,State 1,Zone R,2020-02-11,7537,0.0
10044,10044,total,State 2,Zone R,2020-02-11,6963,0.0
12389,12389,total,State 1,Zone Q,2020-02-11,5260,0.0
12381,12381,total,State 3,Zone Q,2020-02-11,5692,0.0
6294,6294,total,State 3,Zone P,2020-02-11,5639,0.0
11963,11963,total,State 2,Zone Q,2020-02-11,7106,0.0
1584,1584,total,State 2,Zone P,2020-02-12,9918,0.0
6712,6712,total,State 2,Zone Q,2020-02-12,9004,0.0
7214,7214,total,State 3,Zone P,2020-02-12,3802,0.0
10416,10416,total,State 1,Zone P,2020-02-12,5317,0.0
6664,6664,total,State 3,Zone R,2020-02-12,6533,0.0
748,748,total,State 1,Zone R,2020-02-12,6904,0.0
11787,11787,total,State 3,Zone Q,2020-02-12,4734,0.0
437,437,total,State 1,Zone Q,2020-02-12,7149,0.0
12830,12830,total,State 2,Zone R,2020-02-12,11648,0.0
4649,4649,total,State 2,Zone R,2020-02-13,5969,0.0
6557,6557,total,State 2,Zone P,2020-02-13,9209,0.0
7078,7078,total,State 2,Zone Q,2020-02-13,8266,0.0
8838,8838,total,State 1,Zone P,2020-02-13,6110,0.0
12035,12035,total,State 3,Zone Q,2020-02-13,4119,0.0
726,726,total,State 1,Zone R,2020-02-13,6291,0.0
10248,10248,total,State 3,Zone P,2020-02-13,3366,0.0
1265,1265,total,State 3,Zone R,2020-02-13,4081,0.0
2192,2192,total,State 1,Zone Q,2020-02-13,6142,0.0
3408,3408,total,State 1,Zone Q,2020-02-14,5025,0.0
1170,1170,total,State 1,Zone P,2020-02-14,6653,0.0
10265,10265,total,State 1,Zone R,2020-02-14,5834,0.0
1114,1114,total,State 3,Zone P,2020-02-14,4991,0.0
5529,5529,total,State 3,Zone R,2020-02-14,6255,0.0
6025,6025,total,State 2,Zone P,2020-02-14,8463,0.0
5985,5985,total,State 2,Zone Q,2020-02-14,11690,0.0
7670,7670,total,State 2,Zone R,2020-02-14,9173,0.0
9779,9779,total,State 3,Zone Q,2020-02-14,4790,0.0
2645,2645,total,State 1,Zone P,2020-02-15,5399,0.0
10228,10228,total,State 3,Zone Q,2020-02-15,6812,0.0
12867,12867,total,State 2,Zone P,2020-02-15,9199,0.0
9099,9099,total,State 1,Zone Q,2020-02-15,6541,0.0
13043,13043,total,State 1,Zone R,2020-02-15,5502,0.0
7114,7114,total,State 3,Zone R,2020-02-15,5553,0.0
4863,4863,total,State 3,Zone P,2020-02-15,5013,0.0
6097,6097,total,State 2,Zone Q,2020-02-15,9247,0.0
11680,11680,total,State 2,Zone R,2020-02-15,11727,0.0
1099,1099,total,State 2,Zone R,2020-02-16,7364,0.0
5567,5567,total,State 1,Zone Q,2020-02-16,8198,0.0
8496,8496,total,State 3,Zone R,2020-02-16,6999,0.0
225,225,total,State 2,Zone Q,2020-02-16,12624,0.0
10988,10988,total,State 2,Zone P,2020-02-16,12180,0.0
8792,8792,total,State 1,Zone R,2020-02-16,6546,0.0
9996,9996,total,State 3,Zone P,2020-02-16,4743,0.0
1471,1471,total,State 1,Zone P,2020-02-16,5443,0.0
7227,7227,total,State 3,Zone Q,2020-02-16,6318,0.0
5601,5601,total,State 3,Zone R,2020-02-17,3521,1.0
5216,5216,total,State 2,Zone P,2020-02-17,6134,1.0
6958,6958,total,State 3,Zone P,2020-02-17,3535,1.0
769,769,total,State 3,Zone Q,2020-02-17,3081,1.0
3966,3966,total,State 1,Zone P,2020-02-17,3969,1.0
3908,3908,total,State 1,Zone Q,2020-02-17,5216,1.0
707,707,total,State 1,Zone R,2020-02-17,4983,1.0
12515,12515,total,State 2,Zone Q,2020-02-17,6062,1.0
1441,1441,total,State 2,Zone R,2020-02-17,8934,1.0
12469,12469,total,State 1,Zone P,2020-02-18,7672,0.0
10364,10364,total,State 3,Zone R,2020-02-18,4471,0.0
3693,3693,total,State 2,Zone Q,2020-02-18,7811,0.0
1745,1745,total,State 3,Zone P,2020-02-18,5106,0.0
29,29,total,State 2,Zone P,2020-02-18,10600,0.0
7020,7020,total,State 1,Zone Q,2020-02-18,6965,0.0
6705,6705,total,State 1,Zone R,2020-02-18,6930,0.0
10856,10856,total,State 2,Zone R,2020-02-18,10112,0.0
3589,3589,total,State 3,Zone Q,2020-02-18,4315,0.0
11086,11086,total,State 2,Zone P,2020-02-19,7484,0.0
11250,11250,total,State 2,Zone R,2020-02-19,9406,0.0
8870,8870,total,State 1,Zone P,2020-02-19,7141,0.0
11932,11932,total,State 1,Zone R,2020-02-19,5518,0.0
5275,5275,total,State 3,Zone P,2020-02-19,3896,0.0
9160,9160,total,State 2,Zone Q,2020-02-19,10251,0.0
